assumed_stay,assumed_beta,mean_uplift,uplift_std,uplift_ci_low,uplift_ci_high,brier_score,log_loss,map_accuracy
0.9,0.0,0.0,0.0,0.0,0.0,0.25,0.6931471805599454,0.3390625
0.9,0.05,4.811237865517283,9.687579832676962,2.688353335271754,6.934122395762811,0.24877864128983235,0.6907041480265865,0.36163750000000006
0.9,0.1,6.77215657807061,12.59839741671242,4.011411021000592,9.532902135140628,0.24610299743599567,0.6853420762133368,0.49210000000000004
0.9,0.15,9.514243213878157,13.275513484912436,6.605118056207182,12.423368371549131,0.24350351110321214,0.6800939921625652,0.5296875
0.9,0.2,10.401326647693283,13.802661803591207,7.376685021492844,13.425968273893723,0.2418811898246286,0.6767666031945844,0.5359624999999999
0.9,0.3,11.42660984222393,14.180023950751126,8.319275089531375,14.533944594916486,0.24262035146137442,0.6784094404461242,0.52245
0.9,0.4,11.622132759197829,14.021546062188385,8.549526005017452,14.694739513378206,0.2479092214528471,0.6910903231329877,0.48497500000000004
0.94,0.0,0.0,0.0,0.0,0.0,0.25,0.6931471805599454,0.3390625
0.94,0.05,6.85390445890488,12.15551081319067,4.1902107079111275,9.517598209898633,0.24811405876177242,0.6893740462300244,0.5476375
0.94,0.1,11.531982916394902,14.390180020163255,8.378595684507559,14.685370148282246,0.2447229584322045,0.6825635412223899,0.5614750000000001
0.94,0.15,12.640689269795525,15.350884270566842,9.276778436910991,16.004600102680058,0.24215716070816146,0.6773453657517097,0.5710625
0.94,0.2,14.621152277519553,15.275130884426641,11.273841637286676,17.96846291775243,0.24125192267617795,0.6754641015457986,0.575225
0.94,0.3,15.244556886299645,15.485344638604214,11.851181126140412,18.637932646458875,0.2445176123041864,0.6828699974297356,0.5626
0.94,0.4,12.548505575531745,14.594828802561214,9.350272701926869,15.746738449136622,0.25197518850046496,0.7024210485421649,0.5186
0.97,0.0,-2.2737367544323207e-14,1.45724974177956e-13,-5.46707604758917e-14,9.196025387245284e-15,0.25,0.6931471805599454,0.31734999999999997
0.97,0.05,10.661196091889739,16.46941479880104,7.052176449993245,14.270215733786234,0.24737914082741477,0.6879014565462201,0.519625
0.97,0.1,14.860910970867689,18.67044470606645,10.769569384641954,18.952252557093423,0.24373036936929643,0.6805483780651079,0.5317999999999999
0.97,0.15,16.846043525311195,19.665084535453378,12.53674187646494,21.15534517415745,0.241819735219,0.6766276198278858,0.5409499999999999
0.97,0.2,18.169114033691216,18.79619238194405,14.050216773040539,22.288011294341892,0.24224433112959276,0.6775598775008411,0.5469875
0.97,0.3,17.52171853604849,17.73891319380124,13.634507792714357,21.408929279382622,0.2489948356652425,0.6935986629238874,0.5706374999999999
0.97,0.4,13.563985521219745,15.926147109032705,10.074014660784776,17.053956381654714,0.2583038788438089,0.7211470768187896,0.5442
0.99,0.0,-7.815970093361103e-15,1.7531841096218995e-13,-4.6234310785993796e-14,3.0602370599271597e-14,0.25,0.6931471805599454,0.34358750000000005
0.99,0.05,13.406754455277332,22.984243464524354,8.370110037065324,18.44339887348934,0.24691468077115375,0.686967651427552,0.4922625
0.99,0.1,16.54637079116285,25.10278934949849,11.045479536949887,22.047262045375813,0.24371050894711868,0.6804845727506875,0.5142375
0.99,0.15,18.95102769527191,25.422631317505417,13.380047979571911,24.52200741097191,0.24317939275667574,0.6794041991671731,0.5287625
0.99,0.2,19.692688995369945,25.404621743682704,14.125655801538656,25.259722189201234,0.24604168618260772,0.6857392824678705,0.5400875
0.99,0.3,22.247341712613213,23.417694569665386,17.115713133071466,27.37897029215496,0.26355713497684163,0.7299846412455144,0.5468
0.99,0.4,20.599094762748127,20.946706782334026,16.008945256282757,25.189244269213496,0.2899802925396518,0.82149462311089,0.5390499999999999
